text,is_hatespeech
<user> <user> PENJARAKAN saja para Pembuat keributan ......uda Giblog masih terus di pelihara ... Banyak yang uda jadi SAKSI ....tanyakan Mak Banteng aja kan dia yang pertama kali ajukan JKW jadi WALKOT .....ya harus juga bertanggung jawab,True
"<user> Nyesel kenapa? Makin cepet bubar makin bagus, kemiskinan, korupsi, pungli, polisi jadi pers pemerintah, manipulasi hukum &amp; politik demi dinasti, pengerdilan demokrasi, oligarki merajalela, tni-polri banyak ngurusin urusan sipil tapi kasus pnting ditinggalin, utang meroket, dll 🤣",True
"Udah kaya di drakor aje ini konoha ya, dzolim lu pada kaga bakal tenang hidup lu semua yang dzolim begini. Logika aja ngapain bunuh diri kepalanya dililit lakban, astaghfirullah",False
Rekonstruksi Pembunuhan Pegawai BPS Haltim Diwarnai Kericuhan <link>,False
<user> bjir kena pungli,True
"<user> negara ini kok isinya : KORUPTOR, PREMAN, BEGAL, GEROMBOLAN INTOLERAN sm GOBLOKAN HOREG.",True
"Aku lebih percaya kalo Microsoft, Amazon, dll bakalan invest di Vietnam ketimbang dimari. Gak sadar pada banyak pungli dan so-called ormas dengan kualitas SDM rendah ya?",False
ditinggal cherrypop malah budi gelut karo random world war........,True
Ngapain sih ngurusin game bocil? Judol noh lu blokir,True
<user> Dulu kok suka koar” kayak PSHT itu fungsinya memperjuangkan rakyat dari penjajah zolim blablabla taikk,True
"lu semua cowok-cowok kontol gak berakal mending enyah dan mati tenggelam di api neraka anjing. kontol lu dijaga, you doing that shit dengan foto orang dan dengan bangganya lu come out ke orangnya langsung (even though its anonymous)?? akal lu dimana, keparat.",True
<user> <user> <user> bener bang arie untung rugi kena tipu,False
Sin Klin Sok itu novel BL tapi fokusnya lebih ke cerita pemecahan kasus pembunuhan misterius di era setelah perang dunia kedua yaaaa? BL bgt tapiii TTM 😭😭,False
<user> <user> Mukanya kayak tukang begal.,True
polisi tuh kenapa bisa seanjing senajis setolol itu sih,True
Kapan kasus pembunuhan PNS Semarang Iwan Boedi Prasetijo Paulus akan terungkap pelakunya?,False
<user> i think romance is so funny bcs why is his hair so fucking large 😭😭😭,True
"<user> sbb tu bnyak laporan ckp rmai tentera israel bunuh diri skrg... diorg sniri pun x nak kot, gila pnya benjamin netanyahu....",False
"<user> Bl ada yg mlwn (kelompok resintenc) penganiayaan olelh Israel Yg mlwn disalahkan. Berdiam diri spt ngr2 Arab yg tajir, itu sama halnya menyokong penganiayaan. Mendukung genosida. Mesir diberitakan memblokade perbatasan bantuan kemanusiaan tdk bs masuk.",False
"<user> <user> Kan gue juga sengaja mau ikonoklas neologisme orba. Tawuran, perang saudara, perbedaannya di skala. Siapa yg kemudian menentukan skala mana yg masuk tawuran, mana yg masuk perang saudara? Pemerintah? Militer? Polisi? Sejarahwan? Bleh, I refuse to abide by that bullshit.",True
pak <user> pejabatmu banyak blunder dan menciptakan gol bunuh diri 🤣 kenapa ga di hantam popor senapan aja itu kepala <user> berisik dan ganggu perputaran ekonomi aja.,True
Trus yg jaga siapa ntar? Kalo yg nangkepin pungli juga dicopot,False
"Kritik boleh, tapi jangan salah arah. Fakta: Presiden perintahkan Kapolri jalankan Transformasi Reformasi Polri. kapolri transformasireformasipolri ReformasiPolri jagaindonesia",False
<user> This is so sad. I hope we get to see the day where all hostages are freed and each and EVERY member / SUPORTER of hamas eliminated.,False
<user> Pantesan tim Reformasi Polri gak ada kabarnya lagi. Presidennya sibuk puji puji pulici,True
"<user> demo setingan ditunggangi2 antek2 Gibran jokowi bikin kerusuhan agar Gibran jd Presiden -bahaya gibran jd presiden, yg bermain oknum Polri, TNI ,WIR , LBP , HP, AG. Nadiem M",True
wani mungsuh psim ra koe ? <user>,False
"Menteri mu gabisa kerja masih ae dipake <user> kasus berulang dan fatal tak ada tindakan tegas? Kemarin Pertamax oplos, sekarang Pertalite campur air tuh. Jangan sampe kemarahan rakyat memuncak. Paham? Pecat menteri esdm+bumnnya!!!",True
"<user> Isilop : adalah ormas berseragam cokelat, kumpulan hama (makhluk rendahan menjijikan ber-IQ monyet) yang mudah diatur pakai uang, ibaratnya mereka ini seperti hewan peliharaan aja sih. sudah bukan oknum lagi, melainkan mayoritas.",True
"Iya, podo wae kadang hukum ora adil. Nang Georgia, mbah e (Alex Bane) dianggep agresor amarga nembak 12 kali marang mobil sing mundur sawise tabrakan—ora dianggep mbela awake. Begal e salah ngguyu, tapi ora dituntut. Update 2025: Kasus isih prosès, Bane diekstradisi kanggo kasus liya.",False
"<user> Setuju. Kerajaan teknokrat ni nampak sedap bunyinya, tapi tak praktikal dalam demokrasi. Dr Sam calon PM teknokrat tu pun tenggelam dengan ideologi PAS",False
God I wanna see him in public execution and then mayat dan kepalanya yg udh pisah dr badan itu digantung di gedung dpr,True
"<user> <user> Yo dioplos lah Twin, awor Bli mah kudu tjerdas kan jare pemerintah beras oplosan 😂😂😂😂😂😂😂😂",True
"Bahkan ketika pulsa atau quota data kita berkurang dengan cara aneh bisa jadi malingnya adalah para aparatur negara dan para wakil2 rakyat itu sendiri, saya saja sekarang gak pernah beli kuota bulanan meskipun lebih murah, karena kode isyarat mengatakan nanti ada yg mencuri kuota",False
"<user> Sok iye wfh tuhh, pdhl ada anak org meninggal, bumi kalo nguburin mereka jg pen rasanya dilepeh ntu mayat mereka nanti kali ya",True
<user> terlalu syg sama anak lo yg dulu sampai gak bisa terima anak yg sekrang 😂🖕🏻kalau gitu dari awal aja gak usah sok sok an mau keluar dalam ya babiiiiii 😮‍💨 YOU THE FIRST PERSON THAT I SEE IN AU WHO HAVE THE MOST BULLSHIT 🖕🏻seharusnya dari awal lo bunuh diri aja biar sekali ke dira,True
"Kasih makan daging babi , karena mereka bukan muslim , mereka oknum",True
Cimol bojot aa kapan buka di depok timur,False
Bolehkah polisi ngebubarin deMo? Ada aturannya? - - - - polisi demo keadilan aturan indonesia🇮🇩,False
"Kajatisu Silaturahmi ke PWI Sumut, Harli Siregar: Jaksa Jangan Cawe-Cawe Proyek dan Main Dana Desa <link>",False
<user> <user> Dulu bpk said didu jadi komisaris BUMN banyak karyawan di kelurkan tanpa pasangon uang jasa O besar dengan dalih kebihakan persiden dasar gerombolan menjual ayat dan mayat,True
"<user> Iya pasti, Memang otak kerusuhan itu di parpol itu. Itulah namanya “orang besar” yang dimaksud pak Jokowi.",True
"Kalau sudah mental kecebong pengkhianat bangsa,di pastikan agak memanas politik,mencla mencle,penipuan pencitraan,dele tempe tahu bacem dst",True
<user> <user> <user> Oknum mata mu memang ajaran kalian boleh begitu oknum kok rt rw warga taik kau,True
Klo keracunan MBG itu fitnah apa bukan ya? 🤔🍿,False
<user> <user> Ini berdasar fakta apa fitnah mayat spt yg udah2??,True
GAWAAA OKNUM J KECINTAAN BANGET IHHH 😭😭😭 <user> <user>,False
"Isu ijazah palsu gentar, karena menyangkut nama baik. Pemakzulan takut karena akan hilang kekuasaan. Orang tamak, takut hilang harta dan kekuasaannya.",True
kita aja udah biasa dg kemacetan. dasar pejabat manja 😃,True
"<user> entar kalah di MMA bilangnya, Silat lebih asik, udah terima saja bro kalah ya kalah saja gak usah alasan macam2",False
"<user> Dari pajak nder, semua ASN itu dari pajak. Yg nyetak uang itu peruri, klau BI kebijakan aja",False
"<user> <user> Tenggorokanku wes settingan herex gus, aman Nek LA Ice kuatir nyawer LC, akeh mudhorote🙏",False
Terus polda sok pahlawan mau usut tuntas katanya untuk nyari penyebab tapi keluarga almarhum udah ikhlas gak perlu dibahas lagi 🤡 dahlah,False
"Omon-omonnya penjilat. Tapi ya Indonesia kan negara gagal, sampah, korup. Wajarlah banyak pungli, kutipan, penjilat, tukang palak di banyak kota di Indonesia. Hidup negara korup!",True
"<user> Ga dulu kak, warganya barbar makin macet yg ada 😭🙏🏼",False
"<user> Suporter tolol,, org lain jg bs menghina negara kita",True
"Dwi Fungsi tidak lagi digunakan, Prabowo memilih jalur demokrasi dan pembangunan daerah yang berkeadilan <link>",False
<user> <user> Tengok aja tiap kerusuhan di tiap negara. Yg jadi korban itu selalu kelompok kalangan menengah.,False
"<user> koyo kinerjamu <user> , remang-remang, nek ra mampu, sebutno wae wong2e sopo sing maling proyek mandala krida, ben digulung cah2",True
<user> klo memang aman kenapa dari awal keluarin statemen isu beras oplosan??klo cuman mau bikin rakyat resah kan goblok kang... kabinet blegug..,True
"Bandar Kaya, Korban Merana. Judi online bukan permainan, ini perubahan zaman digital. Mereka kaya dari kegagalanmu, sudah cukup jadi tumbal. Saatnya sadar, Lawan Judol. BerantasJudiOnline StopJudiOnline JudiOnlineHaram AstaCita <link>",False
jelek jelek penganiayaan dah,True
<user> makasih 😭😭 takut bgt sumpah jambret tolol,True
"Ingat ya, yg memusuhi pak Jokowi dijamin tenggelam",True
"Segera tindak tegas pak, rakyat pasti dukung penuh pak Prabowo dari pada jenderal yg beking tambah ilegal. Gak ada rakyat kecil atau securiti yang berani beking Tambang Ilegal, judol, korupsi, narkoba da. Penyelundupan selama ini.",False
<user> Lantas apakah protes harus dalam bentuk demo massal seperti 212? Lantas apakah protes harus dalam bentuk kerusuhan 98? Ga harus. Hubungannya apa antara demo massal dengan penggunaan bendera? Kok lu ga nyambung king?,False
Respon cepat presiden Prabowo soal aparat dan kerusuhan saat Demo. Gerhana Agustus 2025 BAEKHYUN <link>,False
"Udah mah nyolot, judgemental, anyink banget lah sumpah gue gendam lu",True
"Keras! Kakorlantas Polri: Kalau Ada Polisi Main-Main Pungli, Saya Copot Hari Itu Juga! <link>",False
mosok ndadak kon bukak i siji panganane🥱,False
<user> Karena bapak tidak tenggelam 🙏 🦝🦝,False
yes. kenal bbrp oknum yg terkenal religious taunya juara 🥇 ngancurin mental orang.,False
"Tuntutan reformasi Polri dipicu oleh perilaku polisi yang brutal menangani demonstrasi akhir Agustus lalu. Namun, tuntutan reformasi Polri juga akumulasi perilaku polisi yang korup dan kental permainan politiknya.",False
pamer mulu luh gw doain ilang (gw jambret) <link>,True
"Lebay bgt, sama begal &amp; ormas gak berani.",True
<user> 1. Daerah disuruh biaya Koperasi merah putih. Diambil dari dana desa. 👀👀 2. Daerah disuruh biayain MBG 3. Tahun 2026 disuruh naikin gaji PNS 4. Dana alokasi khusus di sikat hampir 50%. 5. Nannti di paksa lagi bikin rumah gratis.. 🤣🤣🤣 Daerah pasti kolaps!! Ngedabrus !!,True
"<user> <user> <user> iya bahlil, kalo bahlul mah oknum m",True
"<user> Artinya rezim penguasa saat ini getol menaikan sesuatu seperti : - Gaji anggota DPR, Hakim dinaikan. - Pajak, iuran BPJS Kesehatan, PBB juga dinaikan. Jadi gaji &amp; tunjangan aparatur negara dinaikan dari hasil menginjak rakyat. 😲☹️🤭",True
"<user> gak boleh, nanti dia gelut sama cupang lain.",True
Never knew so many people didn’t understand the Taylor ham vs pork roll debate until now MCRNJ,False
"<user> uang dari mana? uang asing, oligarki, 9naga, judol, narkoboy, koruptor, uang apa nih... suap, gratifikasi, iming iming... ga usah gini lah, pembodohan ini, tegas aja copot Kapolri, Sri Mulyani dan semua geng solo Bang <user> ayolah bergerak",True
Sejauh ini polisi yang di percaya cuman polisi tidur aja.,False
"<user> Menyadarkan mereka para pemilih ijazah palsu. Macam kayak kena gendam, sudah tahu busuk masih aja didukung. Kan tolol.",True
"Kita sudah Ready skrg ini bagi yang memerlukan jasa pemulihan akun &amp; Hapus All akun Lacak lokasi / sadap wa / Hack Akun / Revengeporn - korban pemerasan vcs / terror TIKTOK,GMAIL,TWITER,TELEGRAM, FACEBOOK,INSTAGRAM revengeporn zonauangᅠᅠᅠ ☎️ <link> <link>",False
"setelah mic di matikan, sekarang tv nasional di larang menyiarkan tentang demo dan aksi tabrak lari oleh oknum brimob",False
<user> <user> Makanya kalo ada si jawir timur pecinta horeg hina hina orang india yg jorok ketawain aja karena kelakuannya juga sama aja.,True
Abis liat video kerusuhan konser di jkt kmrn anjir pelakunya org chn jg bjirrrr ada apakah gerangan dengan org chn yg ngonser di jkt woy minimal tertib bjirr aneh aneh aje lu ngerusuh mulu hih,True
<user> Kenapa psim diblur? Kalo arema si ketauan. KW pasti benci2 tapi rindu,False
"ngga nyangka, kerja keras ojol &amp; buruh diapresiasi! Makasih Kapolri yg sadar arti kerjasama ini! <link>",False
Keracunan MBG karna disabotase setelah pak prabowo pidato pbb ? 😭,False
"<user> Hapus saja kades dan camat ga ada gunanya, serta bubarkan atau setidaknya larang ormas pakai atribut militer. Bubarkan brimob.",True
"Arogan bgt smpe bisa ngomong, mereka blm kami hancurkan pke senjata tajam aja, klo kami turun tangan pke senjata tajam jakarta penuh mayat ancaman pembantaian massal pun dibungkus seolah bentuk pembelaan, pantes aja kepercayaan publik anjlok <link>",False
"Rakyat vs Polisi, Tapi DPR Bersembunyi Sambil Ngopi dpr dprri demomahasiswa bubarkandpr brimob",True
"realDonaldTrump TheJusticeDept FBI ChicagosMayor Given Chicagos corruption history and doubts on crime stats despite reported 33% homicide drop YTD, I urge a federal review and audits like DCs. Policy failures, including Johnsons $1.12B deficit, demand intervention for accurate data and safety. Lets ensure transparency.",False
fatmawati lagi macet-macetnya DAN ELU MASIH PAKE STROBO TAT TOT TAT TOT????? sinting kata gw mah,True
<user> Pungli itu namanyaaa,False
"mereka tuh ada divisi cyber harusnya ngatasin judol, revenge porn or apa kek bukan malah doxxing rakyat yang gaji mereka lewat pajak",True
<user> kalo anak outdigo kira² bisa ngeliat dalang di balik kerusuhan 98 gak ya,False
Bawa senjata laras panjang di ruang publik tujuannya apa ya <user>? Kayaknya buat berantas bandar judi online dan narkotika gak segitunya xixi.....,False
Mbok pisan2 mancing pilgub opo reformasi agraria.. 🤭😃,False
"Ada yang diam-diam ingin membunuh karakter PPATK. Bukan rakyat biasa, tapi koruptor dan bandar judi online yang takut kenyamanan mereka terusik. Kita harus sadar akan ini. NiatBaikPPATKbuatRakyat <user> <link> <link>",False
Ruslan Buton..... Himbau masyarakat untuk tidak ikut Demo 25 Agustus 2025 Karena ada maksud terselubung. <link>,False
Digrebek bandar 😂,False
"<user> Krn gibran, maka ijazah orang tuanya, diadili scr internasional, krn pelanggaranHAM? .. Gile lu",True
"top! Polri serius banget tindak pungli, respect deh buat Polri, semangat <link>",False
"Nunda pencairan dana desa hanya malah memperburuk kondisi kocakkkkkkk, Dapet bisikan darimana lagi lu???",True
<user> Yes. Don’t show it to people. Ath tcha nazar lagaan. 🫣,False
"Tbh kayanya jaman sekarang lebih gampang ngebesarin dan ngedidik anak cewek. Pelaku pembunuhan, pemerkosa, pengangguran yang hobby judol, patriarki mentok, penipu, gay tapi nikahin cewek, itu siapa? Cowok. Itu karena hasil didikan yang kurang tepat ke anak cowok.",False
"Menurut Kalian gimana, apakah dipecat saja atau tidak.? indonesia🇮🇩 fyppppppppppppppppppppppp polri global polda",True
Kapolri Sebut Kasus 4 Perusahan Produsen beras Oplosan Naik ke Penyidikan <link>,False
"<user> Bukan KPK Nong.. tapi Ditreskrimum Polda Metro.. masalah, perkara yg dikaitkan sama perkara Penganiayaan dan Penculikan… agak janggal buat selevel Jampidsus…",False
<user> Ada juga yg bynuh rakyat.. tp itu oknum ya.. tp kebanyakan di masyarakat anggota kebanyakan arogan deh.. hehe,True
<user> <user> <user> <user> <user> bacot goblok. Polisi Pembunuh.,True
"Hina Termul Puji Penyidik, Merasa Aman dari Jerat Hukum laporan pak jokowi, rismon ejek dan tantang TERMUL usai diperiksa di Polda Metro jaya ijazah jokowi breakingnews fyppppppppppppppppppppppp roysuryo",True
📝 Surat perintah penangkapan Netanyahu yang dikeluarkan oleh ICC masih berlaku. Perdamaian tidak bisa menghapus Kejahatan Perang. Dan hukum yang telah dijatuhkan pada Penjahat Perang TETAP BERLAKU.,False
Encouraging pungli or what?,False
Aparat kepolisian baru yang diturunkan untuk mengamankan warga saat demonstrasi adalah keputusan yang tidak tepat. <link>,False
"Kalo ini bisa disebut Provokator dan MAKAR, kita tanya <user> dan <user> bakal ditindak tidak ya ? <link>",False
<user> <user> <user> Dih tolol,True
<user> anjing lu pendukung psim fuck you,True
"but i know u know thats the best way to do revenge, and u know me so well after all, bcs when u do that it hurts me so bad",False
Tertangkap kamera para pelaku yang diduga merupakan provokator kerusuhan dan pengrusakan fasilitas umum. provokator demo,False
"Orang-orang kaya gini, pada bego apa gimana? 🤣 Kalian kalo masi main story story an. Masi main hits hits an. Buat nyari bukti ke konyolan klean itu gampang banget 🤧 di mari privasi ga ada gunanya bos 🤣 Udah dapet nilai instansi pungli, di tambah pembunuh, lagi!",True
"<user> beginilah seharusnya fungsi dpr, mengevaluasi sebelum dana dikeluarkan, lalu mengawasi prosesnya. jika ini bisa diterapkan dengan benar, seharusnya tidak terjadi bbm &amp; beras oplosan, atau hal ngawur lainnya...",False
"<user> <user> <user> <user> Jujur gatau mau jelasin kayak gmn lagi. Case kayak gitu ada, nyata, banyak. Orang” yg bertahan di negara maju but made stupid decision untuk balik ke indo dan kejerat hal” kayak saham bodong, judol, dll. Itu ada. Dan adult with awareness as sharp as blunt juga ada",False
Yang begini dibilang partai demokrasi?. Bacot doang berarti slogan demokrasi buat mereka. Mustinya malu <link>,True
Prank ojol <link>,False
<user> Nyawa orang hilang gara-gara manusia idiot,True
<user> Mahluk frustasi... udah dipecat...jadi bandar judol ketauan... ehhh akhirnya sengsara jadi tukang sedot WC.. 🤣,True
Oknum Polisi Asal Bone Jadi Mafia Gas Subsidi 3Kilo Videoviral terkini BPHmigas kapolri,False
sometimes you need a light creative/social outlet but are financially and mentally secure so got no need to farm money or attention,False
tenang nanti juga menerima penghargaan dari Prabowo 🤣🤣🤣,False
<user> <user> Bajak laut adalah klitih tapi di laut,False
"<user> Kalo semuanya terungkap, Death Sentence ke para Zionists mau politisi, militer, polisi sekuriti, influencer, ama suporter nya sudah ditunggu di hadapan Claymore ini yg menggantung dan siap dijatuhkan untuk mengeksekusi semuanya. <link>",False
Klo sesama salafi (wahabi) saling tahzirnya g sampe bawa2 sajam apalg smpe tawuran si. 💀👻,True
Tegas! Prabowo Minta 3 Hal Ini dari Polri Full video cek youtube sagoe TV - Follow us: <user> tegaskanprabowo prabowomintatindakan prabowomintapolriberbenah prabowopanggilpolri reformasipolri tegasuntukrakyat pemimpinberani prabowobergerak indonesiamaju keadilanuntuksemua bersihdarioknum polripercayaadirinya sagoetv,False
DPPPPR ( DEWAN PEMERASAN PENGANIAYAAN PERAMPOKAN PEMBULIAN RAKYAT) DIJAJAH OLEH TIKUS BERDASI MEREKA YANG BUAT ULAH Rakyat sm aparat kecil yang beradu Njir merinding keknya itu dppppr lagi ketawa2 rakyat vs brimob 😭😭😭😭 Brimob dijadiin pion Udh mati nih negara 🥀,True
panas macet munggah medun NEROKOOOO,True
"eh lu nyimak ga si yg dibahas kmrn spy ga ada penokohan “idola” supaya fokus ke ide dan mrk yg dikritik justru ga berembuk dgn buruh, ojol dll yg turun sebelumnya. itu ide awalnya jg krn tuntutan grassroot. malah dari kemaren org yg ngajak bareng.",False
"Media di dominasi berita2 politik,ormas saling serang, tawuran, genk motor, korupsi,penyalahgunaan wewenang, penyegelan tempat ibadah dll, para intelek2nya smpai lupa Mesin2 produksi di indonesia semakin jauh tertinggal,bahkan olh vietnam yg saat aku SD vietnam masih berperang,",False
"<user> Byu kak, iya harusnya emng gitu sih, krna ini kan kmrn tmn ku ke jambret smua2nyaa dompet stnk ktp sim galanya hilang jg kan, jadi harus pake suket hilang dari polisi. Udh di kasih ke csnya eh malah kena bugs. Keselnya ada bngt :(",False
"Soal Kasus Kematian Arya Daru, Kapolri Pastikan Terbuka Terima Masukan dan Siap Libatkan Mabes Polri <link>",False
"<user> Prabowo diperintahkan bebaskan Hasto dan Tom Lembong.Krn Jokowi Sebagai Tokoh PKI ingin membenahi Citranya sebagai Raja Jawa.Inilah nyata,bahwa Struktur Pemerintah Oplosan selalu saja membuat pencitraan.",False
Koruptor dan Bandar judi tidak berani kalian lindas !! Rakyat kecil kalian lindas ..dasar anjiing pembunuh !!!,True
WARTAWAN RASMI LAMAN REFORMASI: HARUS NGAN SETANG...MOLEK NGAT <link>,False
"Bgmn Kabar Korupsi dan Pertamax Oplosan? Kapan Ahok Diperiksa Komisaris Utama, Gaji Buta Milyaran Rp Per Bulan, Mustahil Ga Tahun Skandal Ratusan Triliuan Di Depan Mata? Kenapa Kejagung, Tiba2 Senyap....??? <user> <user> <user> <user> <link>",False
Udh bener Jefri gelut sama Keanu aja <user>,False
"FeelUponMe 你的降临 ⊙⁠ Eps 13 ⊙ kalo jadi Jinjin, perasaan ke orang sekitar g bakal sama lagi. Semua orang ngeraguin dia, pas mau bunuh diri aja sok sok menahan alah pret 😑 HuangJunjie YinRui <link>",False
rekan kami ojol meninggal mana hati nurani kalian bangsatojolmeninggaldibunuholehpolisi,True
Konfrensi Pers dari Kepolisian soal Korban Demo 28 Agustus 2025 termasuk Brimob yang menlindas Ojol sudah diamankan brimob ojol demo bodohnyaaku fyp,False
"Pungli, Palak, Tipu, Curang, Sogok, Suap, Beking, dsb. Negeri Para Oknum mulai dari Pejabat, Birokrat, Aparat, smp dgn Masyarakat. Mindset &amp; Perilaku KORUP! Jayalah negeri ini!!",False
Keren sih Najwa Shihab sama IM3 SATSPAM langsung nyerang modus penipuan digital yang ngeselin. NomorModusNoMore,False
<user> Minorities lebih takut FPI dibanding menantu Soeharto bernama mayjen Prabowo yang dipecat karena dugaan terkait kerusuhan 1998 pembuat tim mawar yang bertanggung jawab atas penculikan aktivis dan punya hubungan dengan Muchdi PR yang diduga terlibat pembunuhan Munir.,False
<user> <user> pdahal ikulo helm mu jaman km sek aktif dadi arek herex bien pak..,False
"<user> Keliatan unn, ada tulisan pungli di jidadnya :&lt;",True
<user> yuhuuu! plz jangan tawuran ih:( Mending kita cabut? .g,False
<user> <user> hahaha dongo ga pernah kejepang ketemu sama psht aja belagu tolol,True
Pak dibantu kui premanisme jogja wes mulai merajalela pak😢😢😢,False
"itu yg gajadi setuju sama keterwakilan simbol BravePink, jadi udahan nih bersuaranya? udahan nih nuntut pemerintah berbenah? gua pikir lu gapake profil tone itu udh cukup kok buat bilang lu ga terwakili. tp udh kan? itu aja kan keresahannya? so thats it.",False
<user> <user> Lu liat sidang gak sih serius?? Jpu nya aja hilangin pasal pemerasan jadi pemerasan drmn lagi???,True
<user> Gendam Calcio mah gk ada lawan was,True
"Oneng nyentil lagi 🔥 Reformasi Polri jangan cuma slogan doang, tapi beneran dibarengin perbaikan di lapangan. Jangan lupa benerin soal penangkapan! sindiran pedes buat aparat biar makin profesional dan nggak semena-mena. RiekeDiahPitaloka ReformasiPolri DPRBersuara polriprofesional fraksipdiperjuangan",False
